Ticker,Date,Open,High,Low,Close,Volume
GOOG,3-Nov-14,555.50,557.90,553.23,555.22,1378511
GOOG,31-Oct-14,559.35,559.57,554.75,559.08,2032887
GOOG,30-Oct-14,548.95,552.80,543.51,550.31,1451667
GOOG,29-Oct-14,550.00,554.19,546.98,549.33,1767107
GOOG,28-Oct-14,543.00,548.98,541.62,548.90,1273372
GOOG,27-Oct-14,537.03,544.41,537.03,540.77,1184973
GOOG,24-Oct-14,544.36,544.88,535.79,539.78,1972047
GOOG,23-Oct-14,539.32,547.22,535.85,543.98,2345296
GOOG,22-Oct-14,529.89,539.80,528.80,532.71,2917183
GOOG,21-Oct-14,525.19,526.79,519.11,526.54,2332531
GOOG,20-Oct-14,509.45,521.76,508.10,520.84,2605505
GOOG,17-Oct-14,527.25,530.98,508.53,511.17,5530674
GOOG,16-Oct-14,519.00,529.43,515.00,524.51,3698423
GOOG,15-Oct-14,531.01,532.80,518.30,530.03,3712536
GOOG,14-Oct-14,538.90,547.19,533.17,537.94,2217230
GOOG,13-Oct-14,544.99,549.50,533.10,533.21,2578676
GOOG,10-Oct-14,557.72,565.13,544.05,544.49,3078634
GOOG,9-Oct-14,571.18,571.49,559.06,560.88,2519693
GOOG,8-Oct-14,565.57,573.88,557.49,572.50,1987888
GOOG,7-Oct-14,574.40,575.27,563.74,563.74,1906427
GOOG,6-Oct-14,578.80,581.00,574.44,577.35,1211320
GOOG,3-Oct-14,573.05,577.22,572.50,575.28,1138636
GOOG,2-Oct-14,567.31,571.91,563.32,570.08,1175307
GOOG,1-Oct-14,576.01,577.58,567.01,568.27,1445027
GOOG,30-Sep-14,576.93,579.85,572.85,577.36,1618437
GOOG,29-Sep-14,571.75,578.19,571.17,576.36,1281204
